,Date,CPI,Inflation Rate
274,1969-11-01,37.5,5.932203389830515
275,1969-12-01,37.7,5.89887640449438
276,1970-01-01,37.9,6.162464985994376
277,1970-02-01,38.1,6.424581005586605
278,1970-03-01,38.3,6.094182825484751
279,1970-04-01,38.5,6.060606060606077
280,1970-05-01,38.6,6.043956043956045
281,1970-06-01,38.8,6.010928961748618
282,1970-07-01,38.9,5.7065217391304435
283,1970-08-01,39.0,5.691056910569103
284,1970-09-01,39.2,5.660377358490565
285,1970-10-01,39.4,5.630026809651478
286,1970-11-01,39.6,5.600000000000005
287,1970-12-01,39.8,5.570291777188308
288,1971-01-01,39.9,5.277044854881274
289,1971-02-01,39.9,4.724409448818889
290,1971-03-01,40.0,4.438642297650142
291,1971-04-01,40.1,4.155844155844157
292,1971-05-01,40.3,4.404145077720201
293,1971-06-01,40.5,4.381443298969079
294,1971-07-01,40.6,4.370179948586128
295,1971-08-01,40.7,4.358974358974366
296,1971-09-01,40.8,4.081632653061207
297,1971-10-01,40.9,3.8071065989847774
298,1971-11-01,41.0,3.535353535353525
299,1971-12-01,41.1,3.266331658291466
300,1972-01-01,41.2,3.2581453634085378
301,1972-02-01,41.4,3.759398496240607
302,1972-03-01,41.4,3.499999999999992
303,1972-04-01,41.5,3.4912718204488824
304,1972-05-01,41.6,3.2258064516129226
305,1972-06-01,41.7,2.9629629629629672
306,1972-07-01,41.8,2.9556650246305383
307,1972-08-01,41.9,2.9484029484029284
308,1972-09-01,42.1,3.1862745098039325
309,1972-10-01,42.2,3.1784841075794823
310,1972-11-01,42.4,3.4146341463414664
311,1972-12-01,42.5,3.406326034063256
312,1973-01-01,42.7,3.6407766990291357
313,1973-02-01,43.0,3.864734299516903
314,1973-03-01,43.4,4.8309178743961345
315,1973-04-01,43.7,5.301204819277117
316,1973-05-01,43.9,5.528846153846145
317,1973-06-01,44.2,5.995203836930463
318,1973-07-01,44.2,5.741626794258381
319,1973-08-01,45.0,7.398568019093088
320,1973-09-01,45.2,7.3634204275534465
321,1973-10-01,45.6,8.056872037914697
322,1973-11-01,45.9,8.25471698113207
323,1973-12-01,46.3,8.94117647058823
324,1974-01-01,46.8,9.601873536299754
325,1974-02-01,47.3,9.999999999999986
326,1974-03-01,47.8,10.138248847926267
327,1974-04-01,48.1,10.068649885583515
328,1974-05-01,48.6,10.70615034168565
329,1974-06-01,49.0,10.859728506787313
330,1974-07-01,49.3,11.538461538461519
331,1974-08-01,49.9,10.888888888888882
332,1974-09-01,50.6,11.946902654867241
333,1974-10-01,51.0,11.842105263157897
334,1974-11-01,51.5,12.200435729847502
335,1974-12-01,51.9,12.095032397408211
336,1975-01-01,52.3,11.752136752136755
337,1975-02-01,52.6,11.205073995771686
338,1975-03-01,52.8,10.460251046025103
339,1975-04-01,53.0,10.187110187110182
340,1975-05-01,53.1,9.259259259259256
341,1975-06-01,53.5,9.183673469387754
342,1975-07-01,54.0,9.533468559837743
343,1975-08-01,54.2,8.617234468937895
344,1975-09-01,54.6,7.905138339920947
345,1975-10-01,54.9,7.647058823529407
346,1975-11-01,55.3,7.37864077669903
347,1975-12-01,55.6,7.129094412331405
348,1976-01-01,55.8,6.692160611854692
349,1976-02-01,55.9,6.273764258555126
350,1976-03-01,56.0,6.060606060606055
